TeamId,Name,Tag,Region,EstablishedDate
8375259,Infinity,Infinity,Unknown,2000-01-01
6615678,Room310,,Unknown,2000-01-01
9593627,Titan,,Unknown,2000-01-01
5194336,DeathBringer Gaming,DBG,Unknown,2000-01-01
485526,Life.,Life,Unknown,2000-01-01
2390951,Kanaya,Kanaya,Unknown,2000-01-01
7453020,Aster.Aries,Aries,Unknown,2000-01-01
8496030,Furia Jovem,FJ,Unknown,2000-01-01
5155538,Рыцари Hiden pool'а,gena ls,Unknown,2000-01-01
9949210,loodowolfs,lw,Unknown,2000-01-01
2395241,Artyk Dota,Artyk,Unknown,2000-01-01
9824497,Team Yakuza,YKZ,Unknown,2000-01-01
7930695,FAMILY TEAM,FT,Unknown,2000-01-01
3349045,Σ(っ°Д°;)っ,Σ(っ°Д°;)っ,Unknown,2000-01-01
3851150,NoLogic Gaming,NLG,Unknown,2000-01-01
8893633,STUDIO21,STUDIO21,Unknown,2000-01-01
2,Zenith,Zenith,Unknown,2000-01-01
10040534,Greyhound Team,GHT,Unknown,2000-01-01
9829468,100MMR,100MMR,Unknown,2000-01-01
5084724,Newbee.M,Newbee.M,Unknown,2000-01-01
2349091,TODOPORELPOD,TXP,Unknown,2000-01-01
6908054,MT Gaming,MT,Unknown,2000-01-01
6925812,EStolis Team,EST,Unknown,2000-01-01
7422789,9Pandas,9Pandas,Unknown,2000-01-01
6269097,TAYO LOVERS,,Unknown,2000-01-01
9818882,Стак который ебет,SKE,Unknown,2000-01-01
53,Potm Bottom,PB,Unknown,2000-01-01
7681903,IO Dota2,IO,Unknown,2000-01-01
9885888,KUKUYS,KKYS,Unknown,2000-01-01
8581305,Lava BestPc,Lava,Unknown,2000-01-01
7641673,Aggressive Mode.,A-Mode,Unknown,2000-01-01
3018001,"     ",,Unknown,2000-01-01
7098928,Adroit,Adroit,Unknown,2000-01-01
5270154,Team Russia,,Unknown,2000-01-01
9351740,Yakult Brothers,YB,Unknown,2000-01-01
5011202,Coloss,Coloss,Unknown,2000-01-01
8168546,FTD.C.Club,,Unknown,2000-01-01
9373877,Team Darleng,TD,Unknown,2000-01-01
3327985,RaveDota,Rave,Unknown,2000-01-01
1679554,Imba Gaming Vietnam,IMBA,Unknown,2000-01-01
6265062,Se7en Esports,S7E,Unknown,2000-01-01
4147900,15 añitoz,15añitoz,Unknown,2000-01-01
9849484,Ягодки,RGD]],Unknown,2000-01-01
9791362,Ramzes team,Ramzes,Unknown,2000-01-01
10129287,В-Восхитительный,VV,Unknown,2000-01-01
8133097,Golden Legacy ,GL,Unknown,2000-01-01
2197847,Burden United,BU,Unknown,2000-01-01
42,Orange E-Sports,Orange,Unknown,2000-01-01
6355223,MalaWarrior,Mala,Unknown,2000-01-01
8300363,SADBOYS.2,x(2,Unknown,2000-01-01
464103,Danish Bears,DB,Unknown,2000-01-01
8443160,meow meow,,Unknown,2000-01-01
8063508,Adió Chula,Adió,Unknown,2000-01-01
3747558,NoTricks,NT,Unknown,2000-01-01
7156567,Sacred Monarch Cult,SS,Unknown,2000-01-01
7751001,DeathWish,DW,Unknown,2000-01-01
9476778,Eye Gaming,EYE,Unknown,2000-01-01
9572357,Студените,СТУД,Unknown,2000-01-01
6926667,Room310,,Unknown,2000-01-01
3262512,ThePrime,TP.NND,Unknown,2000-01-01
8351318,férias com ex,ex,Unknown,2000-01-01
8021531,CYBERIUM.S,CYBERIUM,Unknown,2000-01-01
8152371,draingang,drain,Unknown,2000-01-01
9505239,Rakuzan,Rakuzan,Unknown,2000-01-01
7574786,infinite tsukuyomi,ITS,Unknown,2000-01-01
9309009,DARLENG,DARLENG,Unknown,2000-01-01
7119284,Power of MYSG+AU,MYSGAU,Unknown,2000-01-01
6711290,Team Singularity,SNG,Unknown,2000-01-01
7483893,Fighting PandaS,FP,Unknown,2000-01-01
8252662,BINUS University,BINUS,Unknown,2000-01-01
5209335,Orginality,ORg,Unknown,2000-01-01
9609099,Rakuzan,Rakuzan,Unknown,2000-01-01
6822187,SS DARVIN LOPERS,DL,Unknown,2000-01-01
7300685,Team Drinking,TD,Unknown,2000-01-01
6644139,Willow.Gaming,WG,Unknown,2000-01-01
